"filename", "language", "JavaScript", "CSS", "Vue", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\css\chunk-vendors.929857d0.css", "CSS", 0, 2, 0, 0, 0, 0, 25, 0, 27
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\custom.css", "CSS", 0, 86, 0, 0, 0, 0, 12, 26, 124
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\js\app.7c670719.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\js\chunk-vendors.4fe0b635.js", "JavaScript", 13, 0, 0, 0, 0, 0, 136, 0, 149
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\recoverELement.css", "CSS", 0, 6, 0, 0, 0, 0, 1, 1, 8
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\public\base.css", "CSS", 0, 83, 0, 0, 0, 0, 4, 22, 109
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\public\custom.css", "CSS", 0, 86, 0, 0, 0, 0, 12, 26, 124
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 4, 20
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\public\recoverELement.css", "CSS", 0, 6, 0, 0, 0, 0, 1, 1, 8
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\App.vue", "Vue", 0, 0, 33, 0, 0, 0, 0, 8, 41
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\gitlab.css", "CSS", 0, 553, 0, 0, 0, 0, 7, 124, 684
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\gitlab\cobalt.css", "CSS", 0, 724, 0, 0, 0, 0, 6, 174, 904
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\index.css", "CSS", 0, 1, 0, 0, 0, 0, 25, 0, 26
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\misty-light-windows.css", "CSS", 0, 380, 0, 0, 0, 0, 5, 0, 385
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\pie-dark.css", "CSS", 0, 935, 0, 0, 0, 0, 69, 193, 1197
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\assets\pie.css", "CSS", 0, 863, 0, 0, 0, 0, 54, 157, 1074
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\Editor\Editor2.vue", "Vue", 0, 0, 174, 0, 0, 0, 0, 7, 181
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\HomeMain.vue", "Vue", 0, 0, 119, 0, 0, 0, 8, 11, 138
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\UserState.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 6, 36
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\article.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 1, 21
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\brick.vue", "Vue", 0, 0, 536, 0, 0, 0, 16, 11, 563
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\src\components\bricks\brickObject.js", "JavaScript", 105, 0, 0, 0, 0, 0, 11, 13, 129
